"t","x","y","z"
1.328546417E0,-2.931579947E-3,4.969441332E-3,-9.366725571E-3
1.338622417E0,-3.397633089E-3,1.025714725E-2,-1.682251133E-2
1.348698417E0,-1.197486185E-3,1.662031189E-2,-1.979219168E-2
1.358774417E0,-1.183867827E-2,2.350112237E-2,-2.572464943E-2
1.368851417E0,-1.834095456E-2,2.548611350E-2,-3.687833250E-2
1.378927417E0,-3.879323229E-2,2.711117454E-2,-4.721512645E-2
1.389003417E0,-5.449406803E-2,1.689728908E-2,-5.462068319E-2
1.399080417E0,-6.761493534E-2,2.017142484E-3,-5.745615065E-2
1.409156417E0,-7.981964946E-2,-1.162655931E-2,-5.780331045E-2
1.419232417E0,-8.510575444E-2,-1.614860632E-2,-5.588050932E-2
1.429309417E0,-8.830722421E-2,-1.914429478E-2,-5.460233986E-2
1.439385417E0,-8.531170338E-2,-2.344822884E-2,-5.191574246E-2
1.449461417E0,-8.234875649E-2,-2.622267604E-2,-4.982165620E-2
1.459538417E0,-7.563545555E-2,-2.626155876E-2,-4.694171250E-2
1.469614417E0,-6.512342393E-2,-2.271019854E-2,-3.800237551E-2
1.479690417E0,-5.534829572E-2,-3.059155680E-2,-3.389231861E-2
1.489767417E0,-4.724120721E-2,-3.378050402E-2,-2.766319737E-2
1.499843417E0,-4.306590185E-2,-3.593952581E-2,-2.223221213E-2
1.509919417E0,-3.592389822E-2,-3.476139531E-2,-2.033666521E-2
1.519996417E0,-2.276308835E-2,-3.264258429E-2,-1.576242037E-2
1.530072417E0,-9.997959249E-3,-2.728248388E-2,-1.114632841E-2
1.540148417E0,3.124689683E-4,-3.268950060E-2,-3.830891103E-3
1.550225417E0,8.230149746E-3,-3.113004752E-2,4.179964308E-3
1.560301417E0,1.551363058E-2,-3.487764671E-2,1.278916560E-2
1.570377417E0,2.348867245E-2,-3.211014718E-2,2.030051872E-2
1.580454417E0,3.613149747E-2,-2.612282895E-2,2.234023437E-2
1.590530417E0,4.224820808E-2,-1.297648065E-2,2.706194483E-2
1.600606417E0,4.986378178E-2,-5.845600739E-3,3.163672239E-2
1.610683417E0,5.363117531E-2,6.047736388E-4,3.047057614E-2
1.620759417E0,5.631510913E-2,5.286877044E-3,3.000851721E-2
1.630835417E0,5.416900292E-2,5.668725818E-3,2.541826479E-2
1.640911417E0,5.154046416E-2,4.726499319E-3,2.616315149E-2
1.650988417E0,4.983615130E-2,7.349521853E-3,2.216655761E-2
1.661064417E0,4.539532959E-2,9.628920816E-3,2.329467237E-2
1.671140417E0,4.204175621E-2,7.987335324E-3,2.075575665E-2
1.681217417E0,2.983808331E-2,5.923385732E-3,1.286214590E-2
1.691293417E0,2.532633953E-2,7.302971091E-3,6.059317384E-3
1.701369417E0,1.909986883E-2,7.207896560E-3,6.246045232E-4
1.711446417E0,1.084479317E-2,7.042486221E-3,-7.522909902E-3
1.721522417E0,-7.275355048E-3,4.008080810E-3,-2.218973637E-2
1.731598417E0,-2.162090503E-2,2.526468830E-3,-3.322793916E-2
1.741675417E0,-3.900335729E-2,3.855119692E-3,-3.991194069E-2
1.751751417E0,-5.152772367E-2,7.177127060E-3,-4.403337091E-2
1.761827417E0,-6.887394935E-2,1.092206407E-2,-4.724621028E-2
1.771904417E0,-8.443207294E-2,6.671883631E-3,-5.750839785E-2
1.781980417E0,-9.457818419E-2,1.271539461E-2,-6.562518328E-2
1.792056417E0,-1.005619615E-1,1.521470398E-2,-6.778042763E-2
1.802133417E0,-1.016738340E-1,1.467061974E-2,-6.439021975E-2
1.812209417E0,-1.014981568E-1,3.880686359E-3,-5.710664019E-2
1.822285417E0,-9.917455167E-2,-7.907263935E-3,-4.843671992E-2
1.832362417E0,-9.323740005E-2,-1.439875737E-2,-4.060020670E-2
1.842438250E0,-7.948190719E-2,-1.778017357E-2,-3.214866668E-2
1.852514250E0,-6.466588378E-2,-2.238162607E-2,-2.750887536E-2
1.862591250E0,-5.352428183E-2,-2.509059198E-2,-2.140198089E-2
